Timestamp,Date,Hour,Site,Lat,Lng,Device,EnergyKwh,Temperature,Humidity,Status
2026-07-01 00:00,2026-07-01,0,Jakarta,-6.2,106.8,HVAC,21.76,26.7,73.9,OK
2026-07-01 00:00,2026-07-01,0,Jakarta,-6.2,106.8,Lighting,10.27,27.6,69.5,Warning
2026-07-01 00:00,2026-07-01,0,Jakarta,-6.2,106.8,Servers,19.32,27.7,71.5,OK
2026-07-01 00:00,2026-07-01,0,Jakarta,-6.2,106.8,Machinery,28.67,26.9,81.4,OK
2026-07-01 00:00,2026-07-01,0,Surabaya,-7.25,112.75,HVAC,20.09,27.7,75.4,OK
2026-07-01 00:00,2026-07-01,0,Surabaya,-7.25,112.75,Lighting,7.58,27.7,62.4,OK
2026-07-01 00:00,2026-07-01,0,Surabaya,-7.25,112.75,Servers,13.82,25.3,77.4,OK
2026-07-01 00:00,2026-07-01,0,Surabaya,-7.25,112.75,Machinery,30.13,27.5,80.4,OK
2026-07-01 00:00,2026-07-01,0,Bandung,-6.9,107.6,HVAC,13.16,27.7,71.9,OK
2026-07-01 00:00,2026-07-01,0,Bandung,-6.9,107.6,Lighting,5.4,26.4,75.4,OK
2026-07-01 00:00,2026-07-01,0,Bandung,-6.9,107.6,Servers,12.57,28,63.7,OK
2026-07-01 00:00,2026-07-01,0,Bandung,-6.9,107.6,Machinery,19.13,25.5,82.8,OK
2026-07-01 00:00,2026-07-01,0,Medan,3.58,98.67,HVAC,14.61,24.4,76.3,OK
2026-07-01 00:00,2026-07-01,0,Medan,3.58,98.67,Lighting,4.43,24.1,73.1,OK
2026-07-01 00:00,2026-07-01,0,Medan,3.58,98.67,Servers,9.18,26.7,58.9,OK
2026-07-01 00:00,2026-07-01,0,Medan,3.58,98.67,Machinery,14.88,27.5,62.1,OK
2026-07-01 01:00,2026-07-01,1,Jakarta,-6.2,106.8,HVAC,21.92,25.4,60.3,OK
2026-07-01 01:00,2026-07-01,1,Jakarta,-6.2,106.8,Lighting,7.61,26.1,68.7,OK
2026-07-01 01:00,2026-07-01,1,Jakarta,-6.2,106.8,Servers,17.05,26.9,76.9,OK
2026-07-01 01:00,2026-07-01,1,Jakarta,-6.2,106.8,Machinery,36.55,27.1,71.3,OK
2026-07-01 01:00,2026-07-01,1,Surabaya,-7.25,112.75,HVAC,19.95,26.8,80.5,OK
2026-07-01 01:00,2026-07-01,1,Surabaya,-7.25,112.75,Lighting,6.02,25.8,75.7,OK
2026-07-01 01:00,2026-07-01,1,Surabaya,-7.25,112.75,Servers,13.74,25.7,83.1,Warning
2026-07-01 01:00,2026-07-01,1,Surabaya,-7.25,112.75,Machinery,26.87,24.4,79.6,OK
2026-07-01 01:00,2026-07-01,1,Bandung,-6.9,107.6,HVAC,16.68,26.5,66.7,OK
2026-07-01 01:00,2026-07-01,1,Bandung,-6.9,107.6,Lighting,4.44,27.1,81.4,OK
2026-07-01 01:00,2026-07-01,1,Bandung,-6.9,107.6,Servers,11.46,27.6,59.2,OK
2026-07-01 01:00,2026-07-01,1,Bandung,-6.9,107.6,Machinery,18.17,27.5,69.8,OK
2026-07-01 01:00,2026-07-01,1,Medan,3.58,98.67,HVAC,11.26,24.7,60.6,OK
2026-07-01 01:00,2026-07-01,1,Medan,3.58,98.67,Lighting,3.56,26.3,70.1,OK
2026-07-01 01:00,2026-07-01,1,Medan,3.58,98.67,Servers,10.06,24.1,80.2,OK
2026-07-01 01:00,2026-07-01,1,Medan,3.58,98.67,Machinery,17.86,25.8,65.6,OK
2026-07-01 02:00,2026-07-01,2,Jakarta,-6.2,106.8,HVAC,30.63,26.8,84.4,Warning
2026-07-01 02:00,2026-07-01,2,Jakarta,-6.2,106.8,Lighting,8.45,25.9,77.4,OK
2026-07-01 02:00,2026-07-01,2,Jakarta,-6.2,106.8,Servers,21.38,26.4,55.1,OK
2026-07-01 02:00,2026-07-01,2,Jakarta,-6.2,106.8,Machinery,32.06,27.6,80.7,OK
2026-07-01 02:00,2026-07-01,2,Surabaya,-7.25,112.75,HVAC,24.44,25.2,81.4,OK
2026-07-01 02:00,2026-07-01,2,Surabaya,-7.25,112.75,Lighting,8.05,25.5,55.6,OK
2026-07-01 02:00,2026-07-01,2,Surabaya,-7.25,112.75,Servers,12.52,27.1,67,OK
2026-07-01 02:00,2026-07-01,2,Surabaya,-7.25,112.75,Machinery,31.95,24.6,75.1,OK
2026-07-01 02:00,2026-07-01,2,Bandung,-6.9,107.6,HVAC,15.35,27.9,82.1,OK
2026-07-01 02:00,2026-07-01,2,Bandung,-6.9,107.6,Lighting,5.82,25.9,62.5,OK
2026-07-01 02:00,2026-07-01,2,Bandung,-6.9,107.6,Servers,10.52,26.3,73.3,OK
2026-07-01 02:00,2026-07-01,2,Bandung,-6.9,107.6,Machinery,20.44,24.9,64.2,OK
2026-07-01 02:00,2026-07-01,2,Medan,3.58,98.67,HVAC,11.5,25.6,78.6,OK
2026-07-01 02:00,2026-07-01,2,Medan,3.58,98.67,Lighting,4.54,24.3,62.8,OK
2026-07-01 02:00,2026-07-01,2,Medan,3.58,98.67,Servers,10.1,27.2,82.5,OK
2026-07-01 02:00,2026-07-01,2,Medan,3.58,98.67,Machinery,14.41,26.3,75.8,OK
2026-07-01 03:00,2026-07-01,3,Jakarta,-6.2,106.8,HVAC,31.06,27.2,77.3,OK
2026-07-01 03:00,2026-07-01,3,Jakarta,-6.2,106.8,Lighting,10.55,25,71.8,OK
2026-07-01 03:00,2026-07-01,3,Jakarta,-6.2,106.8,Servers,15.45,24.9,80.5,OK
2026-07-01 03:00,2026-07-01,3,Jakarta,-6.2,106.8,Machinery,38.37,26.4,72.8,OK
2026-07-01 03:00,2026-07-01,3,Surabaya,-7.25,112.75,HVAC,20.5,26.5,85,OK
2026-07-01 03:00,2026-07-01,3,Surabaya,-7.25,112.75,Lighting,6.57,25.5,73.9,OK
2026-07-01 03:00,2026-07-01,3,Surabaya,-7.25,112.75,Servers,16.14,25.6,82.9,OK
2026-07-01 03:00,2026-07-01,3,Surabaya,-7.25,112.75,Machinery,27.8,26.5,72.1,OK
2026-07-01 03:00,2026-07-01,3,Bandung,-6.9,107.6,HVAC,17.36,27.8,69.4,OK
2026-07-01 03:00,2026-07-01,3,Bandung,-6.9,107.6,Lighting,5,27.9,78.4,OK
2026-07-01 03:00,2026-07-01,3,Bandung,-6.9,107.6,Servers,12.23,25.3,62.2,OK
2026-07-01 03:00,2026-07-01,3,Bandung,-6.9,107.6,Machinery,17.55,27.7,77.4,OK
2026-07-01 03:00,2026-07-01,3,Medan,3.58,98.67,HVAC,11.7,24.1,59.7,OK
2026-07-01 03:00,2026-07-01,3,Medan,3.58,98.67,Lighting,4.54,24.6,64.1,OK
2026-07-01 03:00,2026-07-01,3,Medan,3.58,98.67,Servers,8.2,25.1,73.6,OK
2026-07-01 03:00,2026-07-01,3,Medan,3.58,98.67,Machinery,16.11,25.9,82.5,OK
2026-07-01 04:00,2026-07-01,4,Jakarta,-6.2,106.8,HVAC,28.17,28,69.1,OK
2026-07-01 04:00,2026-07-01,4,Jakarta,-6.2,106.8,Lighting,7.5,27.3,67.1,OK
2026-07-01 04:00,2026-07-01,4,Jakarta,-6.2,106.8,Servers,21.55,24.3,76.3,OK
