OrderDate,Month,Region,Category,Product,Quantity,UnitPrice,Revenue,Cost,Profit,MarginPct
2024-01-01,2024-01,East,Electronics,Laptop,2,269.97,539.94,394.75,145.19,26.9
2024-01-01,2024-01,West,Apparel,Jacket,3,264.75,794.25,537.23,257.02,32.4
2024-01-01,2024-01,South,Furniture,Chair,6,44.97,269.82,203.32,66.5,24.6
2024-01-02,2024-01,North,Furniture,Desk,8,818.02,6544.16,4482.7,2061.46,31.5
2024-01-02,2024-01,North,Electronics,Headphones,10,695.66,6956.6,4724.25,2232.35,32.1
2024-01-03,2024-01,East,Electronics,Phone,10,13.92,139.2,95.2,44,31.6
2024-01-04,2024-01,North,Apparel,Sneakers,1,60.5,60.5,45.1,15.4,25.5
2024-01-04,2024-01,North,Apparel,Jacket,9,296.71,2670.39,1901.42,768.97,28.8
2024-01-04,2024-01,East,Electronics,Laptop,6,60.29,361.74,236.97,124.77,34.5
2024-01-05,2024-01,North,Apparel,Jacket,5,274.76,1373.8,779.17,594.63,43.3
2024-01-05,2024-01,South,Apparel,Jacket,1,799.83,799.83,527.72,272.11,34
2024-01-05,2024-01,North,Apparel,Sneakers,10,22.77,227.7,125.41,102.29,44.9
2024-01-06,2024-01,West,Apparel,Jacket,11,466.58,5132.38,3304.4,1827.98,35.6
2024-01-07,2024-01,North,Electronics,Phone,5,794.36,3971.8,2713.1,1258.7,31.7
2024-01-07,2024-01,West,Furniture,Desk,7,737.75,5164.25,2865.4,2298.85,44.5
2024-01-08,2024-01,East,Groceries,Coffee,2,112.11,224.22,148.67,75.55,33.7
2024-01-08,2024-01,North,Furniture,Bookshelf,2,223.5,447,311.97,135.03,30.2
2024-01-08,2024-01,West,Apparel,T-Shirt,8,717.8,5742.4,3573.89,2168.51,37.8
2024-01-09,2024-01,North,Groceries,Tea,4,929.77,3719.08,2070.73,1648.35,44.3
2024-01-09,2024-01,North,Electronics,Phone,3,596.42,1789.26,1172.96,616.3,34.4
2024-01-10,2024-01,North,Groceries,Coffee,4,330.6,1322.4,975.65,346.75,26.2
2024-01-11,2024-01,West,Electronics,Laptop,10,245.69,2456.9,1920.2,536.7,21.8
2024-01-11,2024-01,East,Groceries,Coffee,7,629.08,4403.56,2633.67,1769.89,40.2
2024-01-11,2024-01,North,Furniture,Desk,3,934.13,2802.39,2233.1,569.29,20.3
2024-01-12,2024-01,North,Electronics,Monitor,4,564.39,2257.56,1555.58,701.98,31.1
2024-01-12,2024-01,East,Apparel,Jacket,5,882.12,4410.6,2916.41,1494.19,33.9
2024-01-12,2024-01,South,Furniture,Bookshelf,6,948.27,5689.62,4281.92,1407.7,24.7
2024-01-13,2024-01,North,Electronics,Laptop,11,722.9,7951.9,5176.7,2775.2,34.9
2024-01-14,2024-01,West,Furniture,Desk,11,891.64,9808.04,5817.72,3990.32,40.7
2024-01-14,2024-01,East,Furniture,Chair,11,824.11,9065.21,6679.51,2385.7,26.3
2024-01-15,2024-01,West,Furniture,Chair,3,889.12,2667.36,1910.11,757.25,28.4
2024-01-16,2024-01,West,Furniture,Desk,8,91.02,728.16,477.04,251.12,34.5
2024-01-17,2024-01,West,Groceries,Snacks,11,471.94,5191.34,4011.3,1180.04,22.7
2024-01-17,2024-01,East,Groceries,Coffee,3,637.93,1913.79,1292.24,621.55,32.5
2024-01-17,2024-01,West,Apparel,Jacket,4,526,2104,1536.28,567.72,27
2024-01-18,2024-01,East,Apparel,T-Shirt,3,935.4,2806.2,1580.1,1226.1,43.7
2024-01-19,2024-01,North,Electronics,Phone,4,277.95,1111.8,856.66,255.14,22.9
2024-01-20,2024-01,West,Furniture,Chair,8,999.34,7994.72,5108.08,2886.64,36.1
2024-01-20,2024-01,North,Groceries,Coffee,11,597.12,6568.32,4618.9,1949.42,29.7
2024-01-21,2024-01,South,Groceries,Coffee,10,319.28,3192.8,2489.86,702.94,22
2024-01-21,2024-01,North,Groceries,Snacks,4,584.44,2337.76,1296.65,1041.11,44.5
2024-01-22,2024-01,East,Furniture,Bookshelf,11,303.24,3335.64,2618.96,716.68,21.5
2024-01-22,2024-01,South,Groceries,Coffee,8,52.17,417.36,301.05,116.31,27.9
2024-01-22,2024-01,South,Apparel,Sneakers,3,609.08,1827.24,1299.02,528.22,28.9
2024-01-23,2024-01,North,Furniture,Chair,2,844.12,1688.24,1051.3,636.94,37.7
2024-01-23,2024-01,North,Groceries,Tea,7,357.48,2502.36,1473.54,1028.82,41.1
2024-01-24,2024-01,West,Apparel,Jacket,2,659.24,1318.48,790.71,527.77,40
2024-01-25,2024-01,South,Apparel,T-Shirt,7,427.07,2989.49,1964.49,1025,34.3
2024-01-25,2024-01,East,Electronics,Monitor,6,675.45,4052.7,2645.77,1406.93,34.7
2024-01-26,2024-01,North,Groceries,Snacks,4,545,2180,1642.07,537.93,24.7
2024-01-26,2024-01,East,Apparel,Jacket,9,457,4113,3279.92,833.08,20.3
2024-01-27,2024-01,South,Groceries,Coffee,5,172.01,860.05,594.02,266.03,30.9
2024-01-27,2024-01,West,Furniture,Desk,6,315.88,1895.28,1271.85,623.43,32.9
2024-01-28,2024-01,North,Furniture,Desk,9,468.49,4216.41,3275.28,941.13,22.3
